corp_name,corp_code,stock_code,ceo_name,industry_code,established_date,ir_url,corp_reg_number,business_no
(주)지에스피앤엘,01882845,499790,김원식,64992,20241202,,1101119120299,4668702854
주식회사 솔루엠,01159233,248070,전성호,2629,20150702,,1358110272682,4908100105
(주)수산인더스트리,00193328,126720,"한봉섭,정보윤(각자대표)",422,19830416,,1615110001613,3128102856
(주)KB금융지주,00688996,105560,양종희,64992,20080929,,1101113975517,2018608254
(주)모토닉,00151128,009680,"김희진, 신현돈(각자 대표이사)",303,19740307,,1101110161317,1018102940
(주)풀무원,00155355,017810,이우봉,108,19840531,,1101110375439,3158101744
한일현대시멘트(주),00164672,006390,"전근식, 오해근",23311,19691230,,1101110111867,2148124240
진양화학(주),00347734,051630,임경섭,22214,20010103,,1101112141672,1108149202
진양산업(주),00150439,003780,최원석,2225,19630718,www.cyc1963.com,1801110043610,1028134256
서울보증보험(주),00112998,031210,이명순,65122,19690219,,1101110099774,1208113002
(주)화인베스틸,00661847,133820,장재훈,24121,20070918,,1951110010951,6088168647
넷마블(주),00904672,251270,김병규,5821,20111117,,1101114731299,1058764746
두산로보틱스 주식회사,01105153,454910,"박인원, 김민표, 조길성",2928,20150731,,1101115798272,2578800128
(주)엑시큐어하이트론,00156150,019490,유앤디,265,19861110,,1243110017841,3128106094
(주)덴티움,00526599,145720,"서승우, 윤병호",27191,20000607,,1351110052892,1238157732
한일시멘트(주),01319808,300720,"전근식, 오해근",23311,20180702,,1101116799203,4638701012
AK홀딩스(주),00125080,006840,"고준, 채형석 (각자 대표이사)",64992,19701013,,1101110029721,1138110894
아주스틸(주),00486705,139990,이현식,2419,19991029,,1760110020145,5138116496
피케이씨(주),00122472,001340,윤해구,20131,19541125,,1101110003709,1138101094
(주)엔케이,00172228,085310,김광흡,2512,19840801,,1801110054641,6038106888
신일전자(주),00173698,002700,정윤석,46521,19590714,,1348110001256,1348125389
인지컨트롤스(주),00103510,023800,"정구용, 정혜승 각자 대표이사",30310,19780131,,1301110006296,1338122303
동국홀딩스(주),00114792,001230,장세욱,649,19540707,,1101110031338,2028105158
에이치디현대마린엔진(주),00406046,071970,강영,29119,20010615,,1942110048381,6098148213
삼성에스디에스(주),00126186,018260,이준희,62021,19850501,,1101110398556,1108128774
삼성SDI(주),00126362,006400,최주선,28202,19700120,,1101110394174,1248131282
남해화학(주),00107987,025860,김창수,20312,19740508,,1101110164717,2018145104
(주)삼일씨엔에스,00109806,004440,윤성용,23325,19651231,,1101110061228,1028137869
삼성에프엔위탁관리부동산투자회사 주식회사,01688896,448730,이명규,6811,20220726,,1101118376893,5478702513
인천도시가스(주),00145862,034590,정진혁,35200,19830307,,1201110014027,1378102459
일진전기(주),00683469,103590,"황수, 유상석(각자 대표이사)",2830,20080702,,1348110159279,1248667922
KISCO홀딩스(주),00159740,001940,"장세홍, 이병제 (각자대표)",241,19570219,www.kiscoholdings.co.kr,1901110001872,6088100778
미래에셋생명보험(주),00112332,085620,"김재식, 황문규",65110,19880307,,1601110014483,3058108605
(주)종근당홀딩스,00149354,001630,최희남,212,19560110,www.ckd-holdings.com,1101110028955,1138106667
(주)코오롱,00152862,002020,"안병덕, 이규호",64992,19570412,,1101110030528,2028144660
(주)태영건설,00153861,009410,"최금락, 최진국 (각자대표)",41221,19731120,,1101110155451,1058174543
(주)한익스프레스,00129509,014130,유인철,49301,19790515,,1243110015051,1308116025
(주)SPC삼립,00125530,005610,"황종현, 김범수(각자 대표이사)",108,19680628,,1101110090516,1338122244
(주)MH에탄올,00121534,023150,"최동호, 김일환",11121,19780704,,1901110003563,6088103800
삼성카드(주),00126292,029780,김이태,64913,19830324,,1101110346901,2028145602
세방전지(주),00133858,004490,대표이사 박정희,28202,19520910,,1101110202765,2208100490
사조동아원(주),00137252,008040,이창주,105,19720726,,1244110000662,1368101103
(주)지에스리테일,00140177,007070,허서홍,47122,19710213,,1101110090037,1168118745
(주)지누스,00150633,013890,정백재,320,19790308,www.zinus.co.kr,1347110002553,1248128792
롯데하이마트(주),00158307,071840,남창희,47320,19870701,,1101110532633,1048116860
(주)에이치에스애드,00140168,035000,박애리,71310,19840530,,1101110375398,1058129368
엘에스에코에너지 주식회사,01093007,229640,이상호,64992,20150515,,1341110411706,8268600105
에이치디씨랩스(주),00350312,039570,김성은,423,19990917,www.hdc-labs.com,1101111775365,1208193646
포스코스틸리온(주),00155258,058430,대표이사 사장 천시열,2419,19880215,,1746110006492,5068105517
(주)포스코퓨처엠,00155276,003670,엄기천,282,19710513,,1746110001947,5068101452
(주)마니커,00204208,027740,"안정원,엄영철(각자 대표이사)",1012,19850927,,1345110004149,1358103151
(주)세아홀딩스,00377610,058650,"이태성, 김수호",241,20010701,,1101112276809,1048163174
해성디에스(주),01032413,195870,최영식,262,20140306,,1942110223694,6098618048
에이치에스효성첨단소재(주),01316254,298050,"임진달, 성낙양(각자 대표이사)",205,20180604,,1101116770170,1988700929
주식회사 이지스레지던스위탁관리부동산투자회사,01436628,350520,이승환,681,20200203,http://igisresidencereit.com/,1101117375375,3118601790
남양유업(주),00107598,003920,김승언(대표집행임원),104,19640313,,1101110092976,2028104367
동성제약(주),00116268,002210,나원균,212,19571125,,1101110008200,2118125288
영풍제지(주),00141404,006740,이옥순,172,19700718,,1347110000408,1258100424
(주)드림텍,00415646,192650,"김형민, 박찬홍(각자대표)",2629,19980922,,1615110027883,3128131249
대한제당(주),00113234,001790,강승우,105,19560706,,1201110018368,1218107309
대한제분(주),00113243,001130,"이건영, 송인석",105,19521225,,1101110003733,1048104345
대상(주),00121941,001680,임정배,108,19560131,,1101110327125,1098114886
삼양식품(주),00126955,003230,"김정수, 김동찬",108,19610915,,1101110034308,1028105450
서울식품공업(주),00130879,004410,서성훈,108,19551017,,1101110059702,1348107983
(주)우성,00142661,006980,한재규,105,19701230,,1601110001167,3058120439
한국공항(주),00156691,005430,이수근,52939,19680220,,1101110003692,1098133068
한국쉘석유(주),00158149,002960,이승봉,19221,19600705,,1801110002591,6178100016
(주)씨아이테크,00127158,004920,김대영,26529,19670117,,1101110074479,2108101231
(주)와이투솔루션,00144720,011690,강석환,2611,19761104,,1101110204498,2208121836
중소기업은행,00149646,024110,김성태,64121,19610725,,1101350000903,2028100978
(주)신한글로벌액티브위탁관리부동산투자회사,01714997,481850,조준우,64201,20220317,,1101118234075,3828702288
삼익THK(주),00127802,004380,진영환,29141,19651005,,1701110000935,5038110869
SKC(주),00139889,011790,박원철,204,19730716,http://www.skc.kr/,1301110001585,1358101250
(주)조흥,00149345,002600,함영제,108,19590211,,1101110019334,1138106497
해태제과식품주식회사,00428321,101530,"신정훈, 이상진(각자대표)",108,20010711,,1615110044225,3128149680
(주)대교,00108913,019680,강호준,851,19861220,http://company.daekyo.com,1101110514029,1128141114
동아쏘시오홀딩스(주),00116824,000640,김민영,64992,19490809,,1101110017990,2048100130
동아에스티(주),00956930,170900,정재훈,212,20130304,,1101115079713,2048640122
CJ제일제당(주),00635134,097950,"손경식,강신호(각자 대표이사)",108,20070904,,1101113748253,1048609535
(주)선진,00855093,136490,이범권,109,20110104,,1344110046664,1268636352
(주)삼양사,00896285,145990,"최낙현, 강호성",108,20111103,,1101114720945,1018666838
샘표식품(주),01167056,248170,박진선,108,20160704,,1101116110045,4468700473
(주)크라운제과,01205329,264900,윤석빈,106,20170302,,1101116332590,4118700569
(주)오리온,01238169,271560,이승준,108,20170601,www.orionworld.com,1101116417805,7098100727
롯데웰푸드(주),01258507,280360,"신동빈, 이영구, 이창엽",108,20171001,www.lottewellfood.com/invest/ir,1101116536481,1868100924
(주)경동나비엔,00101488,009450,"손연호, 손흥락, 장희철",28520,19781113,,1347110001159,1258101234
남광토건(주),00107066,001260,"김종수, 이동철(각자대표)",41221,19540805,,1101110017411,1208101995
(주)대창,00112651,012800,"조시영, 김옥열",24221,19771219,,1301110007137,1338123689
동원산업(주),00118026,006040,"김세훈, 박상진, 장인성",64992,19690416,https://dongwon.irupsite.co.kr/,1101110003098,2298111150
동화약품(주),00119195,000020,"유준하, 윤인호(각자 대표이사)",212,18970925,,1101110043870,1108100102
보해양조(주),00123541,000890,조영석,11122,19521111,,2011110000036,4118100209
에스엘(주),00125521,005850,"이성엽,정문호",303,19681107,,1701110000034,5048100078
에스케이디스커버리(주),00131832,006120,"최창원, 손현호",64992,19690701,,1301110005727,1358101191
동원시스템즈(주),00132637,014820,"조점근,서범원,정용욱",222,19800510,,1341110011712,1238115163
유화증권(주),00145190,003460,서태영,66121,19620602,,1101110042484,1168100100
한솔피엔에스(주),00103626,010420,"홍성민, 김형준(각자대표)",467,19750204,,1101110175970,1208159861
국제약품(주),00104722,002720,"남영우, 남태훈",212,19590727,,1101110032154,2078100309
일성건설(주),00146232,013360,백종탁,41221,19780623,,1101110234776,1058129640
오씨아이홀딩스 주식회사,00148896,010060,"이우현, 김택중, 이수미(3인, 각자 대표이사)",64992,19740701,,1746110000981,5068100069
(주)휴스틸,00156488,005010,"박훈, 윤형원(각자 대표이사)",2413,19670418,,1101110077283,1078111563
(주)한국종합기술,00159500,023350,김한영,72121,19630309,,1101110038326,1298120591
한국앤컴퍼니(주),00160047,000240,"조현범, 박종호(각자 대표이사)",64992,19410510,,1101110034233,2208102784
코스모화학(주),00160302,005420,김두영,2049,19680212,,1101110152738,1058133052
한미사이언스(주),00161426,008930,김재교,64992,19730615,,1348110003187,1248132296
(주)한창제지,00163761,009460,"KIM JOONYOUNG, 이상무 각자대표",171,19731206,,1845110000105,6218109073
에이치디씨(주),00164636,012630,"정몽규, 김회언 (각자 대표이사)",649,19771014,,1101110279433,1148158853
에이치엠엠(주) ,00164645,011200,최원혁,50112,19760325,,1101110193740,2028146197
기신정기(주),00106614,092440,윤현도,29293,19881101,,1201110046476,1398116717
