rcept_no,corp_cls,corp_code,corp_name,nmpr,jan_avrg_mendng_am,mendng_totamt,rm,stlm_dt
20250320001026,Y,00122579,BYC,10,"70,619,000","706,197,000",퇴직금 포함,2024-12-31
20250320000753,Y,00815369,에스제이엠,4,"97,752,000","391,008,000",-,2024-12-31
20250321001687,Y,00156354,지엠비코리아,6,"93,073,000","558,440,000",-,2024-12-31
20250318001105,Y,00197759,미래산업,7,"77,000,000","545,000,000",-,2024-12-31
20250321001828,Y,00400857,에이블씨엔씨,7,"91,000,000","636,000,000",대표집행임원 포함,2024-12-31
20250320001416,Y,00194947,한전산업,10,"132,588,000","1,325,886,000",-,2024-12-31
20250321001800,Y,00108612,DS단석,7,"207,558,000","1,452,904,000",-,2024-12-31
20250220001259,Y,00134477,SNT다이내믹스,5,"163,920,000","819,600,000",-,2024-12-31
20250319000503,Y,00138279,S-Oil,11,"176,579,000","1,942,373,000",-,2024-12-31
20250318000552,Y,00160418,한국무브넥스,5,"148,000,000","739,000,000",-,2024-12-31
20250320001454,Y,00145552,이수화학,7,"152,000,000","1,063,000,000",-,2024-12-31
20250313001452,Y,00116949,DN오토모티브,6,"317,175,000","1,903,050,000",-,2024-12-31
20250320000220,Y,00269241,주연테크,6,"39,660,000","199,300,000",-,2024-12-31
20250331002907,Y,00220613,넥스틸,7,"153,000,000","1,071,000,000",-,2024-12-31
20250318001202,Y,00176914,다우기술,6,"161,000,000","968,000,000",-,2024-12-31
20250320000626,Y,00120076,LX인터내셔널,6,"402,000,000","2,413,000,000",-,2024-12-31
20250318001193,Y,00160232,KSS해운,8,"231,000,000","1,848,000,000",-,2024-12-31
20250317001029,Y,00401731,LG전자,7,"565,000,000","3,954,000,000",-,2024-12-31
20250314001183,Y,00508344,SK디앤디,4,"364,000,000","1,455,000,000",-,2024-12-31
20250515002814,Y,00111722,미래에셋증권,7,"454,000,000","3,181,000,000",-,2024-12-31
20250320001174,Y,00147860,에스엠벡셀,7,"112,660,000","1,013,938,000",-,2024-12-31
20250327001293,Y,00128227,삼정펄프,4,"178,000,000","714,000,000",-,2024-12-31
20250402002557,Y,00193009,KH 필룩스,11,"124,000,000","1,120,000,000",2024년 중도퇴임 사내이사 포함,2024-12-31
20250321000735,Y,00145437,아센디오,6,"58,000,000","351,000,000",-,2024-12-31
20250318001106,Y,00255619,강원랜드,13,"62,859,000","817,167,000",-,2024-12-31
20250318000811,Y,00158316,NICE,8,"153,300,000","1,226,404,000",-,2024-12-31
20250317000429,Y,00583424,아모레퍼시픽,10,"593,000,000","5,931,000,000",-,2024-12-31
20250314001597,Y,00113997,롯데에너지머티리얼즈,5,"220,000,000","1,099,000,000",-,2024-12-31
20250321000939,Y,00480455,STX엔진,5,"106,000,000","531,000,000",-,2024-12-31
20250319000813,Y,00706715,미원홀딩스,7,"63,000,000","441,000,000",-,2024-12-31
20250317000545,Y,00106313,금호건설,4,"236,000,000","1,160,000,000",-,2024-12-31
20250320001121,Y,00828789,대성산업,9,"198,000,000","1,781,000,000",-,2024-12-31
20250321001138,Y,00125576,체시스,6,"169,000,000","1,015,000,000",-,2024-12-31
20250317000668,Y,00145880,현대제철,9,"416,000,000","3,744,000,000",-,2024-12-31
20250321001470,Y,00129420,까뮤이앤씨,6,"110,000,000","661,000,000",-,2024-12-31
20250310000394,Y,00855163,미원화학,6,"175,000,000","1,048,000,000",-,2024-12-31
20240902000317,Y,01363818,롯데리츠,2,"24,000,000","48,000,000",-,2024-06-30
20250312000767,Y,01363818,롯데리츠,2,"24,000,000","48,000,000",-,2024-12-31
20250321000777,Y,00115612,동부건설,6,"214,000,000","1,281,000,000",-,2024-12-31
20250331003267,Y,00135917,한화손해보험,7,"343,000,000","2,402,000,000",-,2024-12-31
20250314000520,Y,00191588,삼원강재,6,"113,000,000","675,000,000",-,2024-12-31
20250318001393,Y,01060814,삼양패키징,5,"731,000,000","3,653,000,000",-,2024-12-31
20250318000275,Y,00480367,SK오션플랜트,5,"191,948,000","959,742,000","'24년 3월부 사임 송상호, 문석록 포함",2024-12-31
20250320000750,Y,00127255,삼영,6,"67,667,000","406,000,000",-,2024-12-31
20250318001327,Y,00115676,KG스틸,6,"121,000,000","727,000,000",-,2024-12-31
20250319000715,Y,00114552,도화엔지니어링,10,"271,000,000","2,711,000,000","급여, 상여, 퇴직금",2024-12-31
20250313000820,Y,00116301,NI스틸,5,"281,000,000","1,403,000,000",-,2024-12-31
20250312001047,Y,00117179,디와이,9,"84,000,000","760,000,000",-,2024-12-31
20250708000057,Y,00121570,문배철강,5,"64,000,000","319,000,000",-,2024-12-31
20250320000660,Y,00142865,WISCOM,6,"36,000,000","216,000,000",-,2024-12-31
20250320001108,Y,00130772,SBS,8,"207,000,000","1,659,000,000",-,2024-12-31
20250314001717,Y,00133991,세아특수강,6,"212,000,000","1,062,000,000",퇴임 사내이사 포함,2024-12-31
